,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
28,punta arenas,75.0,CL,1552533786.0,87.0,-53.16,-70.91,281.15,2.6
29,upernavik,36.0,GL,1552534381.0,100.0,72.79,-56.15,253.28,0.76
30,isangel,40.0,VU,1552528800.0,74.0,-19.55,169.27,303.15,2.6
31,port keats,0.0,AU,1552534268.0,91.0,-14.25,129.55,305.805,2.11
32,hithadhoo,32.0,MV,1552534382.0,100.0,-0.6,73.08,301.53,3.76
34,kodiak,90.0,US,1552534164.0,62.0,39.95,-94.76,287.59,8.7
36,kota kinabalu,75.0,MY,1552534217.0,66.0,5.98,116.07,304.26,2.1
37,santa isabel,40.0,CO,1552528800.0,83.0,4.71,-75.1,297.15,2.6
38,beringovskiy,76.0,RU,1552534267.0,90.0,63.05,179.32,257.23,9.11
39,yar-sale,0.0,RU,1552534384.0,73.0,66.83,70.83,259.905,5.41
40,vaini,0.0,IN,1552532400.0,36.0,15.34,74.49,299.15,2.11
41,college,75.0,US,1552534263.0,58.0,64.86,-147.8,275.37,4.1
43,matara,56.0,PE,1552534385.0,85.0,-13.74,-72.9,280.78,0.86
44,tasiilaq,80.0,GL,1552531800.0,92.0,65.61,-37.64,268.15,2.1
45,saskylakh,0.0,RU,1552534385.0,46.0,71.97,114.09,246.655,1.71
46,husavik,88.0,CA,1552533970.0,80.0,50.56,-96.99,273.71,3.58
49,severo-kurilsk,92.0,RU,1552534386.0,94.0,50.68,156.12,272.655,8.96
50,antalaha,64.0,MG,1552534386.0,98.0,-14.9,50.28,297.755,1.31
51,ibb,20.0,YE,1552534387.0,85.0,13.97,44.18,280.23,0.86
52,ancud,0.0,CL,1552532400.0,93.0,-41.87,-73.83,282.15,2.36
53,kandrian,80.0,PG,1552534388.0,77.0,-6.21,149.55,302.155,1.46
54,celestun,0.0,MX,1552534388.0,80.0,20.87,-90.4,302.38,6.56
55,kakonko,44.0,TZ,1552534465.0,95.0,-3.28,30.97,287.98,0.76
56,bonavista,32.0,CA,1552534292.0,88.0,48.65,-53.11,269.26,1.79
57,mar del plata,88.0,AR,1552534465.0,73.0,-46.43,-67.52,287.13,5.46
58,ozernovskiy,68.0,RU,1552534465.0,82.0,51.5,156.52,272.755,4.11
61,mahina,0.0,ML,1552534466.0,28.0,13.76,-10.85,294.005,4.66
62,makkaveyevo,0.0,RU,1552534301.0,36.0,51.75,113.95,271.15,2.0
63,cherskiy,0.0,RU,1552534466.0,64.0,68.75,161.3,250.73,0.41
64,pevek,0.0,RU,1552534466.0,100.0,69.7,170.27,245.155,1.11
65,qaanaaq,44.0,GL,1552534467.0,100.0,77.48,-69.36,252.755,5.36
67,kapaa,40.0,US,1552534396.0,73.0,22.08,-159.32,297.15,6.7
68,chokurdakh,8.0,RU,1552534467.0,66.0,70.62,147.9,250.455,1.51
69,corner brook,40.0,CA,1552532400.0,79.0,48.95,-57.95,267.15,3.1
70,comodoro rivadavia,75.0,AR,1552532400.0,77.0,-45.87,-67.48,288.15,1.5
71,hobart,0.0,AU,1552534156.0,28.0,-42.88,147.33,295.37,4.1
73,ribeira grande,20.0,PT,1552534468.0,97.0,38.52,-28.7,288.88,6.96
74,cape town,0.0,ZA,1552534241.0,82.0,-33.93,18.42,294.82,5.1
75,dikson,88.0,RU,1552534468.0,96.0,73.51,80.55,262.905,11.06
77,vanimo,68.0,PG,1552534469.0,98.0,-2.67,141.3,301.53,6.96
78,bull savanna,0.0,JM,1552534184.0,82.0,17.89,-77.59,291.48,1.91
79,dodge city,90.0,US,1552534234.0,69.0,37.75,-100.02,276.48,14.9
80,raudeberg,92.0,NO,1552534212.0,86.0,61.99,5.14,276.15,4.6
81,oistins,40.0,BB,1552532400.0,78.0,13.07,-59.53,299.15,6.7
82,prado,44.0,BR,1552534470.0,93.0,-17.34,-39.22,301.705,6.76
83,georgetown,20.0,GY,1552532400.0,88.0,6.8,-58.16,297.15,2.1
84,dunedin,92.0,NZ,1552534184.0,61.0,-45.87,170.5,287.04,3.58
86,goderich,80.0,CA,1552534425.0,90.0,43.74,-81.71,278.15,0.89
87,bluff,0.0,AU,1552534321.0,41.0,-23.58,149.07,308.305,2.36
88,chodziez,75.0,PL,1552534378.0,86.0,52.99,16.92,278.15,5.7
89,sur,0.0,OM,1552534273.0,100.0,22.57,59.53,293.03,1.61
90,ozinki,76.0,RU,1552534472.0,95.0,51.2,49.73,271.53,5.41
91,vestmannaeyjar,88.0,IS,1552534179.0,99.0,63.44,-20.27,276.38,3.06
92,guarapuava,8.0,BR,1552534215.0,96.0,-25.4,-51.46,290.98,1.01
93,luanda,75.0,AO,1552532400.0,94.0,-8.83,13.24,299.15,1.0
94,samana,36.0,EC,1552534472.0,94.0,0.12,-76.97,295.755,0.76
95,saldanha,0.0,PT,1552534473.0,86.0,41.42,-6.55,270.88,1.31
96,kerman,0.0,IR,1552532400.0,55.0,30.29,57.06,274.15,2.1
97,balashov,0.0,RU,1552534393.0,91.0,51.54,43.17,265.93,3.76
98,alvorada,20.0,BR,1552534401.0,83.0,-30.0,-51.08,295.15,2.1
99,coahuayana,0.0,MX,1552534474.0,63.0,18.62,-100.35,292.005,0.96
100,hambantota,0.0,LK,1552533000.0,70.0,6.12,81.12,303.15,6.2
101,ponta do sol,44.0,BR,1552534475.0,91.0,-20.63,-46.0,293.005,1.01
102,santa cruz do capibaribe,80.0,BR,1552534476.0,90.0,-7.95,-36.21,296.505,1.76
104,arraial do cabo,0.0,BR,1552532400.0,88.0,-22.97,-42.02,298.15,2.1
105,zaragoza,20.0,ES,1552534326.0,65.0,41.65,-0.88,281.48,7.2
106,yellowknife,5.0,CA,1552534367.0,77.0,62.45,-114.38,257.15,1.0
107,saint anthony,90.0,US,1552534322.0,63.0,43.97,-111.68,273.15,4.6
108,carnarvon,92.0,ZA,1552534477.0,26.0,-30.97,22.13,287.73,4.01
109,kushiro,75.0,JP,1552532400.0,69.0,43.11,144.15,274.15,5.1
112,camacha,75.0,PT,1552532400.0,72.0,33.08,-16.33,288.15,8.2
113,atar,0.0,MR,1552534478.0,23.0,20.52,-13.05,289.13,3.26
114,bosaso,0.0,SO,1552534478.0,100.0,11.28,49.18,298.455,2.76
116,bambous virieux,20.0,MU,1552534145.0,83.0,-20.34,57.76,299.26,1.0
117,atuona,92.0,PF,1552534479.0,100.0,-9.8,-139.03,301.13,6.01
118,kenai,40.0,US,1552534418.0,55.0,60.55,-151.26,276.15,13.4
120,naliya,0.0,IN,1552534479.0,73.0,23.26,68.83,290.605,1.81
121,maua,76.0,KE,1552534480.0,91.0,0.23,37.94,289.13,0.71
122,jalu,0.0,LY,1552534480.0,72.0,29.03,21.55,281.155,1.96
123,tuktoyaktuk,75.0,CA,1552532400.0,75.0,69.44,-133.03,246.15,4.6
124,yeppoon,40.0,AU,1552532400.0,46.0,-23.13,150.74,307.15,4.1
125,russell,0.0,AR,1552532400.0,64.0,-33.01,-68.8,294.15,1.5
126,kahului,40.0,US,1552534305.0,57.0,20.89,-156.47,299.15,9.3
127,petauke,24.0,ZM,1552534557.0,77.0,-14.25,31.33,290.63,1.41
128,saint-augustin,75.0,FR,1552534389.0,93.0,44.83,-0.61,283.15,2.6
129,nouadhibou,0.0,MR,1552532400.0,72.0,20.93,-17.03,292.15,5.7
130,lebu,40.0,ET,1552532400.0,67.0,8.96,38.73,287.15,1.0
131,bredasdorp,100.0,ZA,1552534245.0,88.0,-34.53,20.04,291.15,1.0
132,poum,64.0,MK,1552534558.0,94.0,41.28,20.71,270.005,0.86
134,tessalit,0.0,ML,1552534558.0,31.0,20.2,1.01,282.78,1.71
136,bathsheba,40.0,BB,1552532400.0,78.0,13.22,-59.52,299.15,6.7
137,jamestown,0.0,AU,1552534559.0,92.0,-33.21,138.6,294.155,1.96
139,souillac,0.0,FR,1552534519.0,93.0,45.6,-0.6,280.93,3.1
140,marion,90.0,US,1552534381.0,96.0,35.21,-90.2,293.15,2.1
141,lielvarde,90.0,LV,1552534558.0,100.0,56.72,24.81,274.15,4.6
142,faya,0.0,SA,1552532400.0,59.0,18.39,42.45,289.15,2.1
143,naze,12.0,NG,1552534561.0,94.0,5.43,7.07,297.28,3.06
144,bathurst,12.0,AU,1552534298.0,95.0,-33.42,149.58,302.59,0.45
145,buta,8.0,CD,1552534561.0,92.0,2.79,24.73,296.23,0.96
146,monywa,0.0,MM,1552534562.0,60.0,22.12,95.13,301.855,2.01
147,sirvintos,75.0,LT,1552534464.0,91.0,55.05,24.95,275.15,4.1
148,ucluelet,92.0,CA,1552534481.0,80.0,48.94,-125.55,280.37,0.76
149,iberia,56.0,PE,1552534562.0,94.0,-11.41,-69.49,297.13,0.71
150,inhambane,80.0,MZ,1552534562.0,89.0,-23.87,35.38,299.88,7.16
151,castro,0.0,CL,1552532400.0,93.0,-42.48,-73.76,282.15,2.21
152,umm kaddadah,8.0,SD,1552534321.0,21.0,13.6,26.69,289.155,3.86
153,camopi,44.0,GF,1552534565.0,93.0,3.17,-52.33,296.73,1.16
154,barrow,20.0,AR,1552534565.0,92.0,-38.31,-60.23,284.63,2.96
155,trairi,64.0,BR,1552534565.0,100.0,-3.28,-39.27,299.73,0.31
158,djibo,24.0,BF,1552534566.0,23.0,14.1,-1.63,295.505,4.46
159,dera bugti,0.0,PK,1552534566.0,84.0,29.03,69.15,283.48,1.51
160,paramirim,0.0,BR,1552534566.0,70.0,-13.44,-42.24,293.655,3.31
161,cravo norte,92.0,CO,1552534566.0,47.0,6.3,-70.2,303.78,1.86
162,puerto narino,40.0,CO,1552532400.0,94.0,-3.77,-70.38,299.15,1.0
163,puerto ayora,0.0,EC,1552534328.0,85.0,-0.74,-90.35,298.15,1.79
164,meulaboh,12.0,ID,1552534567.0,100.0,4.14,96.13,301.055,1.16
166,teya,5.0,MX,1552534236.0,51.0,21.05,-89.07,302.15,9.3
167,pederneiras,75.0,BR,1552534538.0,100.0,-22.35,-48.78,296.15,6.7
168,petropavlovsk-kamchatskiy,40.0,RU,1552532400.0,54.0,53.05,158.65,272.15,2.0
169,omboue,92.0,GA,1552534568.0,100.0,-1.57,9.26,297.655,2.66
170,kurilsk,92.0,RU,1552534568.0,99.0,45.23,147.88,271.605,2.16
172,torbay,5.0,CA,1552534511.0,92.0,47.66,-52.73,270.93,1.0
173,zhangjiakou,24.0,CN,1552534569.0,58.0,40.77,114.88,275.38,3.41
174,oakdale,90.0,US,1552534537.0,100.0,44.96,-92.97,280.37,6.2
176,coihaique,0.0,CL,1552532400.0,86.0,-45.58,-72.07,278.15,2.6
177,kosa,80.0,RU,1552534571.0,89.0,59.94,54.99,269.38,3.56
178,provideniya,88.0,RU,1552534571.0,100.0,64.42,-173.23,266.805,12.76
179,hermanus,32.0,ZA,1552534277.0,97.0,-34.42,19.24,290.37,1.51
180,dakar,0.0,SN,1552532400.0,10.0,14.69,-17.45,300.15,6.7
181,gravdal,92.0,NO,1552534563.0,93.0,59.79,5.78,277.15,2.6
182,ailigandi,44.0,PA,1552534572.0,79.0,9.23,-78.02,298.405,3.26
183,leningradskiy,8.0,RU,1552534572.0,77.0,69.38,178.42,248.705,1.61
184,strezhevoy,20.0,RU,1552532400.0,86.0,60.73,77.6,274.15,5.0
185,nanortalik,0.0,GL,1552534572.0,100.0,60.14,-45.24,269.055,13.06
186,matagami,0.0,NG,1552534573.0,66.0,9.67,8.4,289.405,1.16
187,peniche,0.0,PT,1552534274.0,93.0,39.36,-9.38,283.71,0.5
188,touros,40.0,BR,1552532400.0,100.0,-5.2,-35.46,298.15,2.1
189,manaus,0.0,BR,1552532400.0,88.0,-3.13,-59.98,299.15,1.5
190,yerbogachen,76.0,RU,1552534573.0,72.0,61.28,108.01,269.105,3.86
191,khatanga,0.0,RU,1552534574.0,65.0,71.98,102.47,250.455,5.56
192,lompoc,0.0,US,1552534534.0,66.0,34.64,-120.46,285.93,2.6
193,constitucion,75.0,MX,1552531440.0,21.0,23.99,-104.67,289.15,6.2
194,guerrero negro,56.0,MX,1552534574.0,96.0,27.97,-114.04,284.855,3.56
195,pachino,64.0,IT,1552534523.0,99.0,36.72,15.09,278.71,10.73
197,srednekolymsk,24.0,RU,1552534575.0,65.0,67.46,153.71,257.055,1.16
198,santa maria,0.0,BR,1552528800.0,93.0,-29.69,-53.81,292.15,1.0
199,nemuro,75.0,JP,1552532400.0,92.0,43.32,145.57,272.15,2.6
202,leshukonskoye,0.0,RU,1552534578.0,65.0,64.9,45.76,256.955,1.06
203,menongue,12.0,AO,1552534578.0,93.0,-14.66,17.68,289.155,1.06
204,rocha,92.0,UY,1552534578.0,94.0,-34.48,-54.34,291.655,5.41
205,ilulissat,20.0,GL,1552531800.0,54.0,69.22,-51.1,257.15,6.7
206,balikpapan,20.0,ID,1552532400.0,74.0,-1.24,116.86,302.15,1.5
207,lata,92.0,IN,1552534579.0,82.0,30.78,78.62,277.255,0.76
209,muisne,68.0,EC,1552534579.0,86.0,0.61,-80.02,296.63,1.51
210,turukhansk,88.0,RU,1552534579.0,92.0,65.8,87.96,270.28,4.26
211,saint-philippe,90.0,CA,1552534523.0,87.0,45.36,-73.48,273.15,3.1
212,norman wells,20.0,CA,1552532400.0,77.0,65.28,-126.83,256.15,1.0
213,morros,75.0,BR,1552532400.0,100.0,-2.87,-44.04,297.15,3.1
216,deputatskiy,24.0,RU,1552534581.0,71.0,69.3,139.9,255.155,1.76
217,tuatapere,80.0,NZ,1552534207.0,67.0,-46.13,167.69,287.59,2.24
218,carutapera,92.0,BR,1552534581.0,97.0,-1.2,-46.02,298.355,1.11
219,hornepayne,56.0,CA,1552534581.0,97.0,49.22,-84.78,273.38,2.16
220,san rafael,0.0,AR,1552534583.0,58.0,-34.61,-68.33,287.53,1.71
221,namibe,0.0,AO,1552534583.0,100.0,-15.19,12.15,297.48,3.11
222,pangnirtung,24.0,CA,1552534583.0,54.0,66.15,-65.72,249.23,2.36
223,galle,1.0,US,1552534582.0,83.0,29.74,-97.91,296.48,3.6
224,shiyan,0.0,CN,1552534496.0,48.0,32.65,110.78,283.15,1.51
225,puerto colombia,0.0,CO,1552534265.0,83.0,10.99,-74.96,298.15,9.3
226,awjilah,0.0,LY,1552534584.0,74.0,29.14,21.3,281.53,2.01
227,xining,36.0,CN,1552534585.0,55.0,36.62,101.77,271.98,0.51
228,salinopolis,68.0,BR,1552534585.0,100.0,-0.61,-47.36,298.405,2.86
229,corinto,68.0,BR,1552534585.0,83.0,-18.36,-44.46,295.005,1.16
230,arica,0.0,CL,1552532400.0,82.0,-18.48,-70.32,293.15,2.1
231,narsaq,56.0,GL,1552531800.0,73.0,60.91,-46.05,269.15,1.5
232,avarua,100.0,CK,1552532400.0,74.0,-21.21,-159.78,301.15,7.7
233,aabybro,8.0,DK,1552533549.0,93.0,57.16,9.73,275.93,6.01
235,alekseyevsk,20.0,RU,1552534586.0,69.0,57.84,108.35,269.605,3.56
236,turbat,0.0,PK,1552534586.0,76.0,26.0,63.05,282.78,1.21
237,bud,92.0,NO,1552534274.0,100.0,62.91,6.91,275.15,5.1
238,berlevag,80.0,NO,1552534587.0,100.0,70.86,29.09,265.655,8.16
239,belmonte,0.0,PT,1552534406.0,85.0,40.36,-7.35,277.04,0.89
240,hervey bay,12.0,AU,1552534509.0,55.0,-25.3,152.85,304.82,5.7
241,buzmeyin,75.0,TM,1552532400.0,50.0,38.05,58.21,284.15,3.1
242,cayenne,0.0,GF,1552532400.0,78.0,4.94,-52.33,299.15,1.5
243,illapel,44.0,CL,1552534664.0,100.0,-31.63,-71.17,285.38,1.31
244,mount gambier,40.0,AU,1552532400.0,42.0,-37.83,140.78,293.15,3.6
245,mildura,0.0,AU,1552534337.0,80.0,-34.18,142.16,298.15,3.1
247,burnie,0.0,AU,1552534498.0,53.0,-41.05,145.91,291.48,2.68
248,ruteng,64.0,ID,1552534665.0,82.0,-8.61,120.46,300.53,1.36
250,auki,0.0,NG,1552534666.0,35.0,12.18,6.51,293.355,3.46
251,natalio,100.0,PY,1552534667.0,93.0,-26.76,-55.14,294.855,1.11
252,cananeia,20.0,BR,1552534667.0,100.0,-25.01,-47.93,298.48,2.31
253,pimenta bueno,0.0,BR,1552534667.0,90.0,-11.68,-61.19,296.03,0.91
254,les cayes,76.0,HT,1552534668.0,100.0,18.19,-73.75,297.255,4.11
255,gbarnga,0.0,LR,1552534668.0,84.0,7.0,-9.47,297.38,3.96
256,abha,0.0,SA,1552532400.0,59.0,18.22,42.5,289.15,2.1
257,tornio,90.0,FI,1552533602.0,92.0,61.12,27.27,270.37,5.7
258,virginia beach,90.0,US,1552534539.0,75.0,36.85,-75.98,282.59,3.6
259,nikolskoye,20.0,RU,1552534535.0,85.0,59.7,30.79,267.04,4.0
260,nago,0.0,IT,1552534645.0,65.0,45.88,10.89,277.04,2.1
261,irara,80.0,TL,1552534669.0,94.0,-8.52,127.01,301.805,3.31
262,usinsk,8.0,RU,1552534669.0,80.0,66.0,57.56,261.005,3.31
263,rio gallegos,75.0,AR,1552532400.0,93.0,-51.62,-69.22,283.15,2.1
264,east london,20.0,ZA,1552532400.0,93.0,-33.02,27.91,289.15,4.6
265,margate,0.0,AU,1552534640.0,28.0,-43.03,147.26,294.26,4.1
266,bowen,75.0,AU,1552534664.0,70.0,-20.01,148.25,305.93,5.1
267,victoria,75.0,BN,1552532400.0,66.0,5.28,115.24,304.15,1.5
268,ahipara,8.0,NZ,1552530108.0,67.0,-35.17,173.16,302.59,0.71
269,paamiut,0.0,GL,1552534671.0,100.0,61.99,-49.67,267.28,10.86
270,vrangel,0.0,RU,1552534671.0,92.0,42.73,133.08,275.055,6.61
271,manakara,92.0,MG,1552534671.0,97.0,-22.14,48.01,297.78,3.36
272,los llanos de aridane,0.0,ES,1552534504.0,77.0,28.66,-17.92,291.15,5.1
273,niquelandia,20.0,BR,1552534672.0,93.0,-14.47,-48.46,294.905,0.76
274,san cristobal,75.0,EC,1552534249.0,87.0,-0.39,-78.55,288.15,1.5
275,padang,20.0,ID,1552532400.0,70.0,-0.92,100.36,304.15,2.1
276,cidreira,12.0,BR,1552534673.0,89.0,-30.17,-50.22,294.905,4.11
277,chiang klang,0.0,TH,1552532400.0,60.0,19.29,100.86,297.15,1.0
278,ixtapa,5.0,MX,1552534519.0,78.0,20.71,-105.21,296.48,2.6
279,basco,75.0,US,1552534648.0,87.0,40.33,-91.2,287.59,3.1
280,fare,80.0,PF,1552534673.0,99.0,-16.7,-151.02,301.63,6.46
281,kieta,88.0,PG,1552534674.0,100.0,-6.22,155.63,299.855,1.76
282,beaverlodge,40.0,CA,1552532400.0,75.0,55.21,-119.43,273.15,5.7
283,calabozo,12.0,VE,1552534674.0,54.0,8.92,-67.43,301.905,6.11
284,vardo,1.0,US,1552534674.0,37.0,39.62,-77.74,285.37,4.1
285,pimentel,92.0,BR,1552534675.0,97.0,-3.7,-45.5,296.905,0.66
286,klyuchi,0.0,RU,1552534675.0,87.0,52.25,79.17,268.28,1.41
287,cabesti,88.0,RO,1552532400.0,64.0,46.77,22.37,276.15,1.5
288,beyneu,92.0,KZ,1552534675.0,73.0,45.32,55.19,281.255,2.66
290,adrar,0.0,DZ,1552532400.0,19.0,27.87,-0.29,286.15,4.1
291,flinders,75.0,AU,1552534625.0,69.0,-34.58,150.85,297.59,3.6
292,chipinge,8.0,ZW,1552534676.0,90.0,-20.19,32.62,292.98,1.61
293,tigre,0.0,AR,1552534505.0,82.0,-34.42,-58.58,292.15,2.66
294,hualmay,0.0,PE,1552534677.0,91.0,-11.1,-77.61,293.98,0.06
295,chicama,75.0,PE,1552532400.0,88.0,-7.84,-79.15,296.15,3.1
297,doaba,76.0,PK,1552534677.0,86.0,33.42,70.74,277.705,1.31
298,mansfield,1.0,US,1552534415.0,50.0,40.76,-82.52,286.48,6.2
299,goundam,44.0,ML,1552534678.0,33.0,16.42,-3.66,293.78,4.91
300,curuca,32.0,BR,1552534678.0,92.0,-2.52,-61.06,298.48,1.21
301,harindanga,20.0,IN,1552532400.0,83.0,22.04,88.32,301.15,3.1
302,port blair,20.0,IN,1552528800.0,69.0,11.67,92.75,301.15,1.0
303,qaqortoq,0.0,GL,1552531800.0,73.0,60.72,-46.03,269.15,1.5
304,laguna,0.0,MX,1552534640.0,80.0,27.52,-110.01,286.53,1.86
305,dolores,48.0,AR,1552534680.0,92.0,-36.31,-57.68,289.98,3.61
306,gazli,0.0,UZ,1552534681.0,62.0,40.13,63.45,279.355,2.66
307,shchigry,0.0,RU,1552534362.0,100.0,51.87,36.91,266.15,3.0
308,skibbereen,75.0,IE,1552532400.0,93.0,51.55,-9.27,282.15,10.8
309,esperance,20.0,TT,1552534506.0,88.0,10.24,-61.45,298.15,4.1
310,clyde river,90.0,CA,1552532400.0,68.0,70.47,-68.59,247.15,2.1
311,gorin,75.0,US,1552533300.0,87.0,40.36,-92.02,287.59,3.1
312,martapura,40.0,ID,1552532400.0,78.0,-3.41,114.85,301.15,4.1
313,hailar,0.0,CN,1552534682.0,37.0,49.2,119.7,271.03,4.46
314,saint george,20.0,GR,1552534406.0,93.0,39.45,22.34,279.26,0.21
315,whitehorse,90.0,CA,1552534366.0,78.0,60.72,-135.06,273.15,4.6
316,tiksi,68.0,RU,1552534683.0,83.0,71.64,128.87,254.005,1.81
318,lagoa,0.0,PT,1552534629.0,44.0,37.14,-8.45,287.15,6.7
319,lucapa,24.0,AO,1552534684.0,91.0,-8.42,20.74,292.755,1.21
320,kungurtug,0.0,RU,1552534684.0,56.0,50.6,97.53,270.605,1.31
321,baneh,44.0,IR,1552532400.0,100.0,35.99,45.88,278.15,0.5
322,te anau,76.0,NZ,1552534684.0,67.0,-45.41,167.72,285.055,1.51
323,prince george,20.0,CA,1552534359.0,63.0,53.92,-122.75,272.59,1.0
325,muros,40.0,ES,1552534654.0,100.0,42.77,-9.06,280.37,1.5
326,broome,92.0,GB,1552534652.0,87.0,52.47,1.45,280.37,6.7
327,porto velho,20.0,BR,1552532400.0,88.0,-8.75,-63.87,299.15,1.01
328,seddon,80.0,NZ,1552534303.0,67.0,-41.67,174.07,290.93,2.24
329,yendi,0.0,GH,1552534686.0,76.0,9.45,0.0,296.705,2.11
330,codrington,40.0,AU,1552532400.0,62.0,-28.95,153.24,304.15,5.1
331,campbell river,75.0,CA,1552534304.0,80.0,50.02,-125.24,280.15,1.5
332,damavand,75.0,IR,1552534385.0,34.0,35.72,52.07,284.15,0.76
334,homer,90.0,US,1552534629.0,93.0,59.64,-151.54,277.04,5.1
335,pangoa,92.0,PE,1552534687.0,98.0,-12.12,-73.0,293.005,0.96
336,karratha,0.0,AU,1552534687.0,39.0,-20.74,116.85,309.78,2.96
337,thinadhoo,48.0,MV,1552534688.0,100.0,0.53,72.93,301.105,3.56
338,baykit,76.0,RU,1552534688.0,88.0,61.68,96.39,271.73,4.31
339,buala,48.0,SB,1552534688.0,70.0,-8.15,159.59,304.88,3.26
341,yakuplu,88.0,TR,1552534688.0,87.0,39.43,38.59,271.305,0.86
344,paciran,64.0,ID,1552534689.0,86.0,-6.9,112.33,303.105,1.96
345,sorland,88.0,NO,1552534689.0,100.0,67.67,12.69,274.13,7.81
346,abbeville,75.0,FR,1552534513.0,81.0,50.11,1.83,282.15,6.2
347,dengfeng,8.0,CN,1552534690.0,29.0,34.46,113.03,291.38,4.16
348,panjab,0.0,AF,1552534690.0,60.0,34.38,67.02,256.78,1.31
349,keningau,75.0,MY,1552532400.0,66.0,5.33,116.16,304.15,2.1
350,chuy,80.0,UY,1552534690.0,96.0,-33.69,-53.46,292.38,7.21
351,najran,0.0,SA,1552532400.0,42.0,17.54,44.22,292.15,2.6
352,nata,75.0,CY,1552534310.0,87.0,34.78,32.57,285.15,2.6
353,aksha,0.0,RU,1552534692.0,38.0,50.28,113.29,270.38,4.81
354,hasaki,40.0,JP,1552534477.0,29.0,35.73,140.83,285.93,6.7
355,craig,90.0,US,1552534398.0,79.0,40.52,-107.55,269.15,5.7
356,verkhnevilyuysk,20.0,RU,1552534693.0,60.0,63.45,120.31,262.23,2.71
357,airai,24.0,TL,1552534693.0,66.0,-8.93,125.41,300.755,0.86
358,sakaiminato,75.0,JP,1552532400.0,98.0,35.55,133.23,284.15,1.5
359,mehamn,64.0,NO,1552534693.0,95.0,71.03,27.85,265.555,7.16
360,nikita,0.0,UA,1552534694.0,100.0,44.52,34.24,277.605,5.21
361,general salgado,8.0,BR,1552534694.0,94.0,-20.65,-50.36,295.405,0.86
362,porto novo,20.0,BR,1552532400.0,88.0,-23.68,-45.44,296.15,1.26
363,banda aceh,8.0,ID,1552534553.0,93.0,5.56,95.32,300.48,1.21
364,guadalupe,5.0,MX,1552534267.0,44.0,25.68,-100.26,299.15,5.1
366,bohdan,24.0,PL,1552534670.0,84.0,53.21,23.06,275.37,5.66
367,pitimbu,20.0,BR,1552532400.0,94.0,-7.47,-34.81,299.15,1.0
368,dalby,0.0,AU,1552534535.0,40.0,-27.18,151.26,307.59,4.1
370,buchanan,75.0,LR,1552532400.0,94.0,5.88,-10.05,299.15,1.5
372,milkovo,90.0,BG,1552534684.0,93.0,41.53,24.68,279.82,3.1
373,port macquarie,75.0,AU,1552534445.0,69.0,-31.43,152.91,300.93,7.7
374,pando,75.0,UY,1552534339.0,82.0,-34.72,-55.96,294.26,7.7
375,kruisfontein,80.0,ZA,1552534697.0,86.0,-34.0,24.73,288.955,2.11
376,moerai,68.0,PF,1552534698.0,100.0,-22.43,-151.33,298.355,10.06
378,fortuna,0.0,ES,1552534653.0,71.0,38.18,-1.13,283.71,4.1
379,tiruchchendur,32.0,IN,1552534698.0,75.0,8.48,78.12,299.855,5.11
380,san jose,80.0,PH,1552534699.0,92.0,15.79,120.99,297.305,1.06
